11670,-40,574,12170,-49,591,5,6
13502,-256,573,0,0,0,0,6
15403,524,485,15903,499,468,18,8
17168,47,609,17968,49,647,7,5
18969,473,679,19469,474,625,17,4
20635,266,432,21169,234,432,12,9
22201,-162,435,22869,-159,451,2,9
23835,131,820,24571,133,837,9,1
25968,557,730,26336,550,712,19,3
27502,-132,620,28102,-121,640,3,5
29235,568,676,29602,549,620,19,4
30702,98,628,31202,98,644,8,5
32935,606,434,0,0,0,20,9
34435,-35,728,35036,-26,723,5,3
35868,179,578,36302,179,605,10,6
37435,298,818,37902,306,814,13,1
38935,-108,843,39436,-129,854,3,0
40468,218,618,40969,221,645,11,5
42034,88,779,42335,78,724,8,2
43635,-252,660,44035,-257,699,0,4
