232301,8,728,233468,0,751,6,3
234934,445,440,235535,451,456,16,9
236968,511,778,237668,495,801,18,2
238701,-80,665,239502,-68,673,4,4
240368,-123,481,241301,-111,487,3,8
242067,-2,494,242902,8,488,6,8
243701,0,541,244501,-4,555,6,7
245334,350,489,246035,347,497,14,8
249167,567,441,249902,538,448,19,9
251067,123,489,251868,128,485,9,8
253800,-118,862,255368,-121,893,3,0
256534,446,489,257368,430,506,16,8
259133,600,823,259534,544,772,20,1
261500,-44,531,262268,-35,562,5,7
263301,305,677,264335,274,695,13,4
266400,86,745,267701,70,777,8,2
268600,352,828,269801,306,803,14,1
270800,348,627,271801,318,611,14,5
273733,-86,769,274900,-100,767,4,2
276467,438,590,277334,438,591,16,6
