12954,-166,583,15121,-169,583,2,6
16154,-262,813,17787,-259,823,0,1
18987,-66,847,20487,-81,870,4,0
26520,431,642,27553,441,629,16,5
33220,172,833,34587,174,819,10,1
38520,218,884,41019,198,844,11,0
43053,387,544,44686,392,510,15,7
45919,389,495,47419,399,452,15,8
79017,465,783,80585,488,786,17,2
83285,255,591,84618,279,571,12,6
87252,130,775,88586,139,761,9,2
89685,354,678,91285,364,662,14,4
91951,341,834,93451,365,824,14,1
94618,428,447,96150,434,425,16,9
98051,252,782,99251,279,767,12,2
101251,-76,411,102918,-76,419,4,9
105251,-35,637,106918,-32,611,5,5
108451,-137,531,109851,-140,508,3,7
112151,-124,863,113918,-122,870,3,0
117284,298,882,118184,301,840,13,0
119650,346,787,121117,333,774,14,2
122817,515,638,124384,519,632,18,5
125517,345,491,126917,334,474,14,8
130150,475,443,0,0,0,17,9
132284,473,496,133483,493,470,17,8
135416,175,497,136783,183,473,10,8
138850,-205,833,140483,-209,829,1,1
141749,-257,434,143684,-239,438,0,9
144350,-38,497,145950,-27,500,5,8
148683,351,707,149716,333,731,14,3
