259646,85,728,261247,83,727,8,3
262913,132,496,264180,143,469,9,8
266279,-131,680,267546,-150,670,3,4
268579,47,824,269780,26,834,7,1
270779,40,636,271979,14,602,7,5
273279,384,447,274212,378,421,15,9
275679,597,589,276512,577,580,20,6
280712,-46,688,281546,-74,648,5,4
282879,296,735,283846,312,729,13,3
285012,424,832,286079,410,787,16,1
291378,-10,863,0,0,0,6,0
293012,220,738,294245,202,721,11,3
296211,465,734,297379,455,734,17,3
299112,343,787,300278,335,769,14,2
306545,172,876,0,0,0,10,0
308345,215,688,309545,208,679,11,4
310511,435,592,311779,422,595,16,6
320411,518,691,321712,513,686,18,4
322877,216,787,323978,195,793,11,2
325377,42,786,326145,35,785,7,2
327010,125,590,328211,116,552,9,6
328911,299,534,330210,307,519,13,7
331111,560,642,332177,547,654,19,5
335644,474,546,336777,471,526,17,7
337910,9,541,339110,-25,527,6,7
340977,521,497,342077,516,474,18,8
343843,387,737,344844,379,742,15,3
346977,48,879,348177,30,847,7,0
349777,-106,525,350944,-139,524,3,7
369076,551,880,370910,530,800,19,0
