751917,295,490,752817,309,528,13,8
754116,98,773,755150,105,784,8,2
756483,356,822,757516,342,826,14,1
759218,497,580,759818,489,593,17,6
761316,-206,470,762416,-232,512,1,8
763716,440,436,764849,455,462,16,9
766416,-238,430,767883,-266,459,0,9
768982,64,682,770416,32,702,7,4
772216,-153,427,773449,-178,446,2,9
774449,-74,470,775782,-91,498,4,8
777182,-46,877,778416,-38,863,5,0
779849,512,871,780916,489,878,18,0
782282,262,810,783350,266,830,12,1
784482,89,736,785482,69,758,8,3
786682,-120,626,787882,-147,664,3,5
789015,431,681,789816,439,708,16,4
791148,-245,708,792649,-243,685,0,3
793682,-164,536,794915,-184,557,2,7
795848,-74,616,796982,-94,657,4,5
797948,135,768,799148,114,805,9,2
