968877,432,587,969643,424,609,16,6
970843,470,869,971743,452,889,17,0
973676,275,417,974543,271,462,12,9
975576,-125,531,976510,-144,547,3,7
977810,234,844,979009,208,899,11,0
980143,-258,819,981276,-276,831,0,1
981976,43,572,982876,37,601,7,6
984041,220,787,984809,221,802,11,2
985776,569,579,986609,547,608,19,6
987876,-191,670,988909,-226,692,1,4
990409,608,684,991243,557,690,20,4
992276,-67,623,993242,-64,647,4,5
994309,-77,816,995342,-104,837,4,1
996342,392,829,997142,385,850,15,1
998309,168,851,999110,160,904,10,0
1000109,101,656,1001076,81,705,8,4
1002242,307,879,1003176,293,897,13,0
1004276,562,729,1005042,561,752,19,3
1006308,393,873,1007142,348,879,15,0
1008242,-38,714,1009309,-27,747,5,3
