1120,258,680,1754,271,691,12,4
2986,-83,480,3852,-84,499,4,8
4752,135,714,5586,135,744,9,3
6752,-164,779,7619,-175,749,2,2
9086,604,816,9819,597,828,20,1
11219,378,870,11953,375,862,15,0
13186,476,537,14019,448,519,17,7
15052,38,578,15985,45,594,7,6
17285,-71,852,18419,-91,831,4,0
19519,-23,571,20286,-48,568,5,6
21818,558,778,22552,551,781,19,2
24019,-246,722,24885,-267,735,0,3
25918,302,723,26486,285,711,13,3
27618,80,781,28385,82,750,8,2
29418,451,573,30318,424,592,16,6
31651,256,428,32752,269,466,12,9
33918,215,497,34752,219,509,11,8
35751,136,640,36718,133,650,9,5
37685,350,730,38718,317,730,14,3
39551,-34,663,0,0,0,5,4
41818,567,491,42718,544,496,19,8
43818,427,688,44551,438,703,16,4
45685,90,576,46418,82,576,8,6
47451,-179,619,48385,-169,643,2,5
49484,567,542,50018,536,526,19,7
51584,-255,632,52618,-249,624,0,5
54251,96,486,55051,90,491,8,8
56084,304,539,56784,269,527,13,7
57819,81,638,58484,76,625,8,5
59684,562,691,60185,556,693,19,4
